Entity;Code;Year;Other renewables excluding bioenergy;bioenergy;solar;wind;hydro;nuclear;oil;gas;coal
Kazakhstan;KAZ;1985;0;0;0;0;5.2104726;0;8.298834;8.685689;59.068005
Kazakhstan;KAZ;1986;0;0;0;0;4.7817907;0;8.76365;9.172172;62.37639
Kazakhstan;KAZ;1987;0;0;0;0;5.7319617;0;9.030538;9.451501;64.276
Kazakhstan;KAZ;1988;0;0;0;0;6.991491;0;8.885133;9.299317;63.24106
Kazakhstan;KAZ;1989;0;0;0;0;7.29201;0.1016462;8.976557;9.395003;63.891785
Kazakhstan;KAZ;1990;0;0;0;0;7.366;0;8.731;9.138;62.144
Kazakhstan;KAZ;1991;0;0;0;0;7.2;0.5391668;7.498982;8.6412115;62.11144
Kazakhstan;KAZ;1992;0;0;0;0;6.866;0.464037;7.3003497;8.735418;59.802868
Kazakhstan;KAZ;1993;0;0;0;0;7.629;0.4463594;6.7349763;7.759973;55.319805
Kazakhstan;KAZ;1994;0;0;0;0;9.179;0.3800684;4.768355;5.350398;47.103504
Kazakhstan;KAZ;1995;0;0;0;0;8.331;0.0795492;4.8602753;5.4543085;48.01872
Kazakhstan;KAZ;1996;0;0;0;0;7.331;0.088388;4.245919;4.764126;42.3212
Kazakhstan;KAZ;1997;0;0;0;0;6.499;0.3005192;3.7667937;4.225723;37.206028
Kazakhstan;KAZ;1998;0;0;0;0;6.141;0.088388;3.6344662;4.073196;35.865402
Kazakhstan;KAZ;1999;0;0;0;0;6.132;0;3.0123556;4.0980773;34.05544
Kazakhstan;KAZ;2000;0;0;0;0;7.53;0;2.69;5.52;35.9
Kazakhstan;KAZ;2001;0;0;0;0;8.08;0;2.33;5.89;39.08
Kazakhstan;KAZ;2002;0;0;0;0;8.89;0;3.07;6.23;40.14
Kazakhstan;KAZ;2003;0;0;0;0;8.62;0;2.59;6.82;45.83
Kazakhstan;KAZ;2004;0;0;0;0;8.06;0;1.18;7.15;50.56
Kazakhstan;KAZ;2005;0;0;0;0;7.86;0;2.63;7.26;50.17
Kazakhstan;KAZ;2006;0;0;0;0;7.77;0;6.57;8;49.32
Kazakhstan;KAZ;2007;0;0;0;0;8.17;0;7.15;5.05;56.25
Kazakhstan;KAZ;2008;0;0;0;0;7.46;0;3.08;8.21;61.6
Kazakhstan;KAZ;2009;0;0;0;0;6.88;0;0.88;12.86;58.11
Kazakhstan;KAZ;2010;0;0;0;0;8.02;0;0.62;7.35;66.66
Kazakhstan;KAZ;2011;0;0;0;0;7.88;0;0.54;7.94;70.22
Kazakhstan;KAZ;2012;0;0;0;0;7.64;0;0.72;14.63;67.63
Kazakhstan;KAZ;2013;0;0;0;0;7.73;0;0.54;15.34;69
Kazakhstan;KAZ;2014;0;0;0;0.01;8.26;0;1.02;18.19;67.16
Kazakhstan;KAZ;2015;0;0;0.05;0.13;9.27;0;1.24;17.61;63.35
Kazakhstan;KAZ;2016;0;0;0.09;0.27;11.62;0;1.92;19.51;61.22
Kazakhstan;KAZ;2017;0;0;0.09;0.34;11.21;0;0.78;21.76;68.94
Kazakhstan;KAZ;2018;0;0;0.14;0.39;10.38;0;0.06;21.47;74.83
Kazakhstan;KAZ;2019;0;0;0.39;0.71;9.99;0;0.06;21.51;73.82
Kazakhstan;KAZ;2020;0;0.01;1.24;1.03;9.66;0;0.06;23.54;73.09
Kazakhstan;KAZ;2021;0;0;1.63;1.75;9.21;0;0.26;27.07;75.16
Kazakhstan;KAZ;2022;0;0;1.7;2.53;9.21;0;0.06;23.65;76.83
Kazakhstan;KAZ;2023;0;0;1.83;3.93;8.77;0;0.07;23.37;75.91
